Epoch,Total_Loss,PDE_Loss,IC_Loss,BC_Loss,Time_s
200,0.028145398944616318,0.00219355127774179,0.005181629676371813,4.370010174170602e-06,25.688471794128418
400,0.0159724410623312,0.0037652794271707535,0.0024126037023961544,1.4414283214136958e-05,50.34225606918335
600,0.00990514736622572,0.0020145324524492025,0.001565616112202406,6.253360879782122e-06,76.37544560432434
800,0.006810404825955629,0.0016526167746633291,0.0010250218911096454,3.2678583465894917e-06,102.16077280044556
1000,0.00588378356769681,0.0011562147410586476,0.0009414899977855384,2.0118905013077892e-06,127.9398193359375
1200,0.004213722422719002,0.0006715299095958471,0.0007052049622870982,1.6167665535249398e-06,155.17302083969116
1400,0.00453286524862051,0.0006266389973461628,0.0007771708187647164,2.0372231119836215e-06,181.0348961353302
1600,0.003972753882408142,0.000626868917606771,0.0006667337729595602,1.2215939477755455e-06,208.14555478096008
1800,0.003889157436788082,0.0007493450539186597,0.0006251044687815011,1.4290250192061649e-06,233.80514883995056
2000,0.0036396619398146868,0.0005992294172756374,0.0006052940734662116,1.3962059028926888e-06,259.5979537963867
