Epoch,Total_Loss,PDE_Loss,IC_Loss,BC_Loss,Time_s
200,0.04675162211060524,0.00546385208144784,0.00776834087446332,0.00024460614076815546,13.85012698173523
400,0.022765573114156723,0.002109753666445613,0.004108485300093889,1.1339474440319464e-05,27.588221311569214
600,0.012087573297321796,0.0014734031865373254,0.0020936117507517338,1.4611188817070797e-05,42.69712996482849
800,0.010230357758700848,0.0013778640422970057,0.0017501495312899351,1.0174579074373469e-05,56.47652554512024
1000,0.00886869989335537,0.0014976831153035164,0.0014625700423493981,5.8166297094430774e-06,70.22015905380249
1200,0.007914518006145954,0.0013061362551525235,0.0013128392165526748,4.4185972001287155e-06,85.41799283027649
1400,0.00583579670637846,0.0008393000462092459,0.000993011170066893,3.144092943330179e-06,99.2691810131073
1600,0.005462750792503357,0.001061046146787703,0.0008762571378611028,2.0419304291863227e-06,114.20296049118042
1800,0.00471597071737051,0.001047151512466371,0.0007305300678126514,1.6168805814231746e-06,127.95326328277588
2000,0.004518246278166771,0.0006871065706945956,0.0007637044764123857,1.2617095990208327e-06,141.75888919830322
