Epoch,Total_Loss,Vlasov_Loss,Poisson_Loss,IC_Loss,Symmetry_Loss,Time_s
1000,30.109378814697266,0.0036659431643784046,0.13194335997104645,0.05889064818620682,3.3586024983378593e-06,44.10836458206177
2000,26.987829208374023,6.985305662965402e-05,0.0001489458663854748,0.05397402122616768,2.309549529400101e-08,88.00942969322205
3000,25.64791488647461,8.225591045629699e-06,2.6988916943082586e-05,0.05129554122686386,8.392366801501794e-09,132.09506702423096
4000,26.64850425720215,8.438464647042565e-06,0.000535568397026509,0.05329158157110214,1.418535049424463e-07,176.1714563369751
5000,23.581315994262695,4.6862591261742637e-05,0.0007336198468692601,0.04715363681316376,3.907608970621368e-06,220.33108043670654
6000,23.540782928466797,9.660427167546004e-05,0.0002082333667203784,0.04707486554980278,1.105664068745682e-05,264.4312913417816
7000,23.602399826049805,0.0001304143515881151,0.00014755968004465103,0.047196123749017715,1.735156365612056e-05,308.4977149963379
8000,26.01370620727539,0.000285633112071082,0.0005170402582734823,0.052012886852025986,2.1967189240967855e-05,352.5228896141052
9000,21.595746994018555,0.0006674917531199753,0.007370552513748407,0.04310430958867073,3.0365728889591992e-05,396.5205497741699
10000,15.78619384765625,0.021330635994672775,0.012928472831845284,0.031043723225593567,0.0008917927625589073,440.7051966190338
11000,10.613807678222656,0.05890582129359245,0.011944415047764778,0.02053670957684517,0.0011341305216774344,485.905394077301
12000,8.631734848022461,0.05720525234937668,0.0023961160331964493,0.016685079783201218,0.001100046094506979,530.0384485721588
13000,5.629014015197754,0.04178483784198761,0.004942518658936024,0.010782799683511257,0.0008555830572731793,574.1609306335449
14000,3.8505685329437256,0.028149528428912163,0.0016859214520081878,0.007232477888464928,0.0009887530468404293,618.1993958950043
15000,2.7133328914642334,0.023790204897522926,0.004359389189630747,0.004961507394909859,0.0009349609026685357,662.3016798496246
16000,1.9346199035644531,0.019559813663363457,0.001603378215804696,0.003496423363685608,0.0007941580843180418,706.4086554050446
17000,2.407971143722534,0.019739963114261627,0.0016322407172992826,0.0044817267917096615,0.0006960335304029286,750.3863809108734
18000,1.6749640703201294,0.018508603796362877,0.0016147581627592444,0.0030487661715596914,0.0006199933704920113,794.6367864608765
19000,2.0349233150482178,0.017850525677204132,0.0019056543242186308,0.0038090930320322514,0.0005149897187948227,838.7721848487854
20000,1.6825841665267944,0.015901340171694756,0.0022682121489197016,0.003138086060062051,0.00043149373959749937,883.1147584915161
21000,1.8164719343185425,0.016615035012364388,0.0014489626046270132,0.0034185764379799366,0.0004166191502008587,929.0555815696716
22000,1.6415913105010986,0.013550493866205215,0.0016757628181949258,0.0031027200166136026,0.00034151002182625234,973.2258775234222
23000,1.513450026512146,0.013126153498888016,0.0015217650216072798,0.002852486213669181,0.00033235945738852024,1017.7135117053986
24000,1.4050378799438477,0.014312324114143848,0.001634962041862309,0.002652752446010709,0.0002808724239002913,1061.8455946445465
25000,1.4609451293945312,0.014897801913321018,0.001967419870197773,0.002757651498541236,0.00028692244086414576,1106.286768913269
