Epoch,Total_Loss,PDE_Loss,IC_Loss,BC_Loss,Time_s
50,0.00726496335119009,0.0011374345049262047,0.01702839322388172,0.014066165313124657,7.584226608276367
100,0.007045172154903412,0.0003545291838236153,0.017633454874157906,0.014580000191926956,14.458781719207764
150,0.006617657840251923,0.0003903802717104554,0.0162152461707592,0.01401674747467041,21.27834916114807
200,0.006670055445283651,0.00041855211020447314,0.016569998115301132,0.013700403273105621,27.997341871261597
250,0.007346644531935453,0.0021479406859725714,0.01765519753098488,0.010079274885356426,34.69273614883423
300,0.0040037548169493675,0.0020421999506652355,0.009877683594822884,0.002058303216472268,41.43898963928223
350,0.00236933259293437,0.0007728145574219525,0.007244524545967579,0.0006443558377213776,48.226847887039185
400,0.002541507361456752,0.001315429573878646,0.006809918209910393,0.00043016343261115253,55.056063175201416
450,0.0019349007634446025,0.000504715193528682,0.00634007016196847,0.00033279607305303216,61.890655279159546
500,0.002375465352088213,0.001138143241405487,0.006702156737446785,0.00021605589427053928,68.64571499824524
550,0.002140819327905774,0.0008847926510497928,0.006387409288436174,0.00016702667926438153,75.38826942443848
600,0.0018950332887470722,0.0005168724455870688,0.006292433012276888,0.00012249589781276882,82.22045373916626
650,0.0018861687276512384,0.0008396429475396872,0.0055149816907942295,0.00010578912042547017,89.07729482650757
700,0.001725922804325819,0.0003679290821310133,0.00599690293893218,7.243127765832469e-05,96.0175039768219
750,0.0017057567602023482,0.0005382883246056736,0.0055287242867052555,5.7444674894213676e-05,102.94100141525269
800,0.0017745792865753174,0.0007387076038867235,0.005348127335309982,3.980871770181693e-05,109.85873103141785
850,0.0017436316702514887,0.0009704700205475092,0.004682387225329876,4.156443173997104e-05,116.79822039604187
900,0.001430693781003356,0.0003608164261095226,0.00485961651429534,3.1879866583039984e-05,123.73916244506836
950,0.0020497418008744717,0.0014804265229031444,0.004726679064333439,2.6939629606204107e-05,130.66931819915771
1000,0.0011348717380315065,0.0005367714329622686,0.0032701073214411736,2.536957254051231e-05,137.60373187065125
1050,0.0011383912060409784,0.00037373954546637833,0.0036630146205425262,2.7736610718420707e-05,146.74724054336548
1100,0.0011762954527512193,0.0007563147228211164,0.002924892120063305,2.3332800992648117e-05,153.9652235507965
1150,0.0007987910648807883,0.0003717227664310485,0.002313366625458002,2.1666499378625304e-05,161.11672639846802
