Epoch,Total_Loss,PDE_Loss,IC_Loss,BC_Loss,Time_s
200,0.2740471363067627,0.02723800018429756,0.020119626075029373,0.014621102251112461,3.8669166564941406
400,0.26321476697921753,0.026058757677674294,0.01931244321167469,0.014059381559491158,7.165884017944336
600,0.05055011808872223,0.011033318936824799,0.006959056947380304,0.0004721514414995909,12.381158828735352
800,0.03606398031115532,0.002662709914147854,0.006206697318702936,0.00023677819990552962,15.94480562210083
1000,0.039865121245384216,0.007894846610724926,0.006082478910684586,0.00015578785678371787,19.494483470916748
1200,0.03538014739751816,0.0028631645254790783,0.006223659496754408,0.0001398687600158155,24.350374937057495
1400,0.03537876904010773,0.001060781069099903,0.006625842303037643,0.0001188779206131585,27.568565368652344
1600,0.03828858211636543,0.005821766331791878,0.006296806503087282,9.82780329650268e-05,32.04175901412964
1800,0.03371785953640938,0.0018410298507660627,0.006186559796333313,9.440301801078022e-05,35.278921365737915
2000,0.033412933349609375,0.0010714882519096136,0.006299315486103296,8.448687731288373e-05,38.49535894393921
