Epoch,Total_Loss,Vlasov_Loss,Poisson_Loss,IC_Loss,Symmetry_Loss,Time_s
100,1.4271519184112549,0.0018627694807946682,0.063255175948143,0.013597770594060421,4.513843668974005e-05,5.803544044494629
200,1.208823800086975,0.00036360087688080966,0.024411598220467567,0.011836202815175056,8.566888027417008e-06,11.610883951187134
300,1.2664152383804321,0.00010299434507032856,0.0008917126106098294,0.012650678865611553,7.052929504425265e-06,17.60957622528076
400,1.2567393779754639,6.330137694021687e-05,0.0006093327538110316,0.012557978741824627,5.378861715144012e-06,23.556860208511353
500,1.3504340648651123,7.732258382020518e-05,5.53134705114644e-05,0.013500366359949112,5.294197308103321e-06,29.41274118423462
600,1.174001932144165,7.439540786435828e-05,0.00014046930300537497,0.011734469793736935,6.802697498642374e-06,35.24164128303528
700,1.359799861907959,6.336474325507879e-05,0.00013384730846155435,0.013589099980890751,1.3855272300133947e-05,41.18605899810791
800,1.1385942697525024,0.00010308318451279774,0.003918011207133532,0.011271844618022442,0.00014777312753722072,47.3203501701355
900,1.0604745149612427,0.000190210688742809,0.0007611745386384428,0.010473855771124363,0.00024275112082250416,53.20195913314819
1000,0.9536529779434204,0.00039909000042825937,0.0006893895915709436,0.009366074576973915,0.00031914046849124134,59.41333603858948
